STATE,STATENAME,ST_CASE,EVENTNUM,VEH_NO,VEVENTNUM,VNUMBER1,AOI1,AOI1NAME,SOE,SOENAME,VNUMBER2,VNUMBER2NAME,AOI2,AOI2NAME
4,Arizona,40837,4,1,4,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40838,1,1,1,1,99,Reported as Unknown,99,Reported as Unknown,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40839,1,1,1,1,99,Reported as Unknown,8,Pedestrian,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40840,1,1,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40840,1,2,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40841,1,1,1,1,99,Reported as Unknown,9,Pedalcyclist,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40842,1,1,1,1,99,Reported as Unknown,99,Reported as Unknown,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40843,1,1,1,1,99,Reported as Unknown,99,Reported as Unknown,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40843,2,1,2,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40844,1,1,1,1,98,Not Reported,8,Pedestrian,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40845,1,1,1,1,99,Reported as Unknown,99,Reported as Unknown,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40846,1,1,1,1,99,Reported as Unknown,99,Reported as Unknown,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40847,1,1,1,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40847,2,1,2,1,98,Not Reported,33,Curb,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40848,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40848,2,1,2,1,98,Not Reported,43,Other Fixed Object,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40848,3,1,3,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40849,1,1,1,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40849,2,1,2,1,55,Non-Harmful Event,69,Re-entering Roadway,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40849,3,1,3,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,6,6 Clock Point
4,Arizona,40849,8,1,4,1,98,Not Reported,12,Motor Vehicle In-Transport,3,3,12,12 Clock Point
4,Arizona,40849,9,1,5,1,98,Not Reported,12,Motor Vehicle In-Transport,6,6,6,6 Clock Point
4,Arizona,40849,3,2,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,6,6 Clock Point
4,Arizona,40849,4,2,2,2,12,12 Clock Point,12,Motor Vehicle In-Transport,3,3,6,6 Clock Point
4,Arizona,40849,7,2,3,2,98,Not Reported,12,Motor Vehicle In-Transport,4,4,3,3 Clock Point
4,Arizona,40849,4,3,1,2,12,12 Clock Point,12,Motor Vehicle In-Transport,3,3,6,6 Clock Point
4,Arizona,40849,5,3,2,3,98,Not Reported,12,Motor Vehicle In-Transport,5,5,6,6 Clock Point
4,Arizona,40849,8,3,3,1,98,Not Reported,12,Motor Vehicle In-Transport,3,3,12,12 Clock Point
4,Arizona,40849,7,4,1,2,98,Not Reported,12,Motor Vehicle In-Transport,4,4,3,3 Clock Point
4,Arizona,40849,5,5,1,3,98,Not Reported,12,Motor Vehicle In-Transport,5,5,6,6 Clock Point
4,Arizona,40849,6,5,2,5,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40849,9,6,1,1,98,Not Reported,12,Motor Vehicle In-Transport,6,6,6,6 Clock Point
4,Arizona,40849,10,6,2,6,98,Not Reported,12,Motor Vehicle In-Transport,7,7,6,6 Clock Point
4,Arizona,40849,10,7,1,6,98,Not Reported,12,Motor Vehicle In-Transport,7,7,6,6 Clock Point
4,Arizona,40850,1,1,1,1,9,9 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40850,1,2,1,1,9,9 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40851,1,1,1,1,12,12 Clock Point,8,Pedestrian,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40852,1,1,1,1,12,12 Clock Point,8,Pedestrian,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40852,2,1,2,1,11,11 Clock Point,73,Object That Had Fallen From Motor Vehicle In-Transport,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40852,3,1,3,1,19,Other Objects or Person Set-In-Motion,54,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,2,13,Top
4,Arizona,40852,3,2,1,1,19,Other Objects or Person Set-In-Motion,54,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,2,13,Top
4,Arizona,40853,1,1,1,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40853,2,1,2,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40853,2,2,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40853,3,2,2,2,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40853,4,2,3,2,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40853,5,2,4,2,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40853,6,2,5,2,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40853,7,2,6,2,0,Non-Collision,2,Fire/Explosion,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40854,1,1,1,1,3,3 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40854,1,2,1,1,3,3 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40855,1,1,1,1,3,3 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40855,1,2,1,1,3,3 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40856,1,1,1,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40856,2,1,2,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40856,3,1,3,1,12,12 Clock Point,14,Parked Motor Vehicle,2,2,12,12 Clock Point
4,Arizona,40856,4,1,4,1,55,Non-Harmful Event,69,Re-entering Roadway,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40856,5,1,5,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40856,6,1,6,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40856,7,1,7,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40856,8,1,8,1,0,Non-Collision,2,Fire/Explosion,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40856,3,2,1,1,12,12 Clock Point,14,Parked Motor Vehicle,2,2,12,12 Clock Point
4,Arizona,40857,1,1,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,6,6 Clock Point
4,Arizona,40857,1,2,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,6,6 Clock Point
4,Arizona,40858,1,1,1,1,9,9 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40858,1,2,1,1,9,9 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40859,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40859,2,1,2,1,98,Not Reported,35,Embankment,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40859,3,1,3,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40859,4,1,4,1,0,Non-Collision,5,Fell/Jumped from Vehicle,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40860,1,1,1,1,3,3 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40860,1,2,1,1,3,3 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40861,1,1,1,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40861,2,1,2,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40861,2,2,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40862,1,1,1,1,12,12 Clock Point,9,Pedalcyclist,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40863,1,1,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,62,Left-Front Side
4,Arizona,40863,1,2,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,62,Left-Front Side
4,Arizona,40864,1,1,1,1,11,11 Clock Point,12,Motor Vehicle In-Transport,2,2,11,11 Clock Point
4,Arizona,40864,2,1,2,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40864,3,1,3,1,98,Not Reported,12,Motor Vehicle In-Transport,3,3,11,11 Clock Point
4,Arizona,40864,1,2,1,1,11,11 Clock Point,12,Motor Vehicle In-Transport,2,2,11,11 Clock Point
4,Arizona,40864,3,3,1,1,98,Not Reported,12,Motor Vehicle In-Transport,3,3,11,11 Clock Point
4,Arizona,40865,1,1,1,1,12,12 Clock Point,8,Pedestrian,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40866,1,1,1,1,3,3 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40866,1,2,1,1,3,3 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40867,1,1,1,1,63,Left-Back Side,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40867,1,2,1,1,63,Left-Back Side,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40868,1,1,1,1,1,1 Clock Point,12,Motor Vehicle In-Transport,2,2,98,Not Reported
4,Arizona,40868,1,2,1,1,1,1 Clock Point,12,Motor Vehicle In-Transport,2,2,98,Not Reported
4,Arizona,40869,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40869,2,1,2,1,98,Not Reported,33,Curb,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40869,3,1,3,1,98,Not Reported,42,Tree (Standing Only),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40869,4,1,4,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40869,5,1,5,1,98,Not Reported,42,Tree (Standing Only),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40869,6,1,6,1,98,Not Reported,39,Wall,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40870,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40870,2,1,2,1,98,Not Reported,33,Curb,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40870,3,1,3,1,98,Not Reported,30,Utility Pole/Light Support,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40871,1,1,1,1,0,Non-Collision,72,"Cargo/Equipment Loss, Shift, or Damage [harmful]",9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40871,2,1,2,1,0,Non-Collision,5,Fell/Jumped from Vehicle,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40872,1,1,1,1,98,Not Reported,12,Motor Vehicle In-Transport,2,2,63,Left-Back Side
4,Arizona,40872,2,1,2,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40872,1,2,1,1,98,Not Reported,12,Motor Vehicle In-Transport,2,2,63,Left-Back Side
4,Arizona,40873,1,1,1,1,12,12 Clock Point,8,Pedestrian,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40873,2,1,2,1,19,Other Objects or Person Set-In-Motion,54,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,2,98,Not Reported
4,Arizona,40873,2,2,1,1,19,Other Objects or Person Set-In-Motion,54,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,2,98,Not Reported
4,Arizona,40874,1,1,1,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40874,2,1,2,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40874,4,1,3,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40874,3,2,1,2,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40874,4,2,2,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,12,12 Clock Point
4,Arizona,40875,1,1,1,1,0,Non-Collision,5,Fell/Jumped from Vehicle,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40877,1,1,1,1,55,Non-Harmful Event,71,End Departure,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40877,2,1,2,1,12,12 Clock Point,30,Utility Pole/Light Support,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40878,1,1,1,1,12,12 Clock Point,8,Pedestrian,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40878,2,1,2,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,11,11 Clock Point
4,Arizona,40878,2,2,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,11,11 Clock Point
4,Arizona,40879,1,1,1,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40879,2,1,2,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40880,1,1,1,1,62,Left-Front Side,12,Motor Vehicle In-Transport,2,2,6,6 Clock Point
4,Arizona,40880,1,2,1,1,62,Left-Front Side,12,Motor Vehicle In-Transport,2,2,6,6 Clock Point
4,Arizona,40880,2,2,2,2,82,Right-Front Side,39,Wall,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40881,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40881,2,1,2,1,98,Not Reported,33,Curb,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40881,3,1,3,1,98,Not Reported,42,Tree (Standing Only),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40881,4,1,4,1,0,Non-Collision,5,Fell/Jumped from Vehicle,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40882,1,1,1,1,62,Left-Front Side,12,Motor Vehicle In-Transport,2,2,82,Right-Front Side
4,Arizona,40882,1,2,1,1,62,Left-Front Side,12,Motor Vehicle In-Transport,2,2,82,Right-Front Side
4,Arizona,40883,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40883,2,1,2,1,98,Not Reported,33,Curb,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40883,3,1,3,1,98,Not Reported,33,Curb,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40883,4,1,4,1,98,Not Reported,33,Curb,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40883,5,1,5,1,98,Not Reported,39,Wall,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40885,1,1,1,1,0,Non-Collision,5,Fell/Jumped from Vehicle,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40886,1,1,1,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40886,2,1,2,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40886,3,1,3,1,98,Not Reported,35,Embankment,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40888,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40888,2,1,2,1,98,Not Reported,18,Other Object (not fixed),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40888,3,1,3,1,98,Not Reported,18,Other Object (not fixed),9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40889,1,1,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,9,9 Clock Point
4,Arizona,40889,1,2,1,1,12,12 Clock Point,12,Motor Vehicle In-Transport,2,2,9,9 Clock Point
4,Arizona,40890,1,1,1,1,55,Non-Harmful Event,79,Ran off Roadway - Direction Unknown,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40890,2,1,2,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40891,1,1,1,1,99,Reported as Unknown,99,Reported as Unknown,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40892,1,1,1,1,55,Non-Harmful Event,79,Ran off Roadway - Direction Unknown,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40892,2,1,2,1,12,12 Clock Point,35,Embankment,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40892,3,1,3,1,98,Not Reported,20,Impact Attenuator/Crash Cushion,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40893,1,1,1,1,98,Not Reported,8,Pedestrian,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40894,1,1,1,1,98,Not Reported,8,Pedestrian,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40895,1,1,1,1,98,Not Reported,8,Pedestrian,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40896,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40896,2,1,2,1,98,Not Reported,43,Other Fixed Object,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40896,3,1,3,1,98,Not Reported,32,Culvert,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40896,4,1,4,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40896,5,1,5,1,0,Non-Collision,5,Fell/Jumped from Vehicle,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40897,1,1,1,1,98,Not Reported,8,Pedestrian,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40898,1,1,1,1,55,Non-Harmful Event,63,Ran Off Roadway - Right,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40898,2,1,2,1,98,Not Reported,39,Wall,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40898,3,1,3,1,0,Non-Collision,1,Rollover/Overturn,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40898,4,1,4,1,0,Non-Collision,2,Fire/Explosion,9999,Not a Motor Vehicle,77,Not a Motor Vehicle
4,Arizona,40899,1,1,1,1,55,Non-Harmful Event,68,Cross Centerline,5555,Non-Harmful Event,55,Non-Harmful Event
4,Arizona,40899,2,1,2,1,55,Non-Harmful Event,64,Ran Off Roadway - Left,5555,Non-Harmful Event,55,Non-Harmful Event
