ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10139,0,0,0,0,0,0,0,0,0,0
10140,24,24,24,24,24,24,24,24,24,24
10141,0,0,16,15,0,0,0,0,11,0
10142,17,0,0,0,5,0,0,0,23,0
10143,0,0,0,0,0,0,0,0,0,0
10144,0,0,0,0,0,0,0,0,0,0
10145,3,3,3,3,3,3,3,3,3,3
10146,4,4,4,4,4,4,4,4,4,4
10147,22,22,22,22,22,22,22,22,22,22
10148,0,0,0,0,0,0,0,0,0,0
10149,0,0,0,0,0,0,0,0,0,0
10150,0,0,0,5,13,11,22,9,0,0
10151,0,0,14,0,0,13,0,0,0,0
10152,0,0,0,0,0,0,0,0,0,0
10153,20,20,20,20,20,20,20,20,20,20
10154,21,21,21,21,21,21,21,21,21,21
10156,17,13,0,0,0,0,0,0,0,0
10157,0,0,0,0,0,0,0,0,0,0
10158,8,27,12,2,22,12,31,7,9,19
10159,0,0,0,0,0,0,0,0,0,0
10160,0,0,0,0,0,0,0,0,0,0
10161,0,0,0,0,0,0,0,0,0,0
10162,20,20,20,20,20,20,20,20,20,20
10163,22,22,22,22,22,22,22,22,22,22
10164,17,13,28,0,9,0,0,0,0,0
10165,0,13,19,13,10,10,0,25,0,19
10166,0,0,0,0,0,0,0,0,0,0
10168,25,25,25,25,25,25,25,25,25,25
10169,18,18,18,18,18,18,18,18,18,18
10170,0,0,0,0,0,0,0,0,0,0
10171,13,13,13,13,13,13,13,13,13,13
10172,0,0,0,0,0,0,0,0,0,0
10173,0,0,0,0,0,0,0,0,0,0
10174,0,0,0,0,0,0,0,0,0,39
10175,0,0,0,0,0,0,0,0,0,0
10176,28,28,28,28,28,28,28,28,28,28
10177,0,0,0,0,0,0,0,0,32,24
10178,34,0,0,0,0,18,6,15,11,18
10179,0,0,0,0,0,0,0,0,0,0
10180,29,29,29,29,29,29,29,29,29,29
10181,0,22,0,0,11,4,0,0,3,0
10182,0,0,0,0,0,0,0,0,0,0
10183,9,44,21,28,11,22,9,24,27,14
10184,0,0,0,0,0,0,0,0,0,0
10185,0,0,0,0,0,0,0,0,0,0
10186,0,0,0,0,0,0,0,0,0,0
10187,0,0,0,0,0,0,0,0,0,0
10188,0,0,0,0,0,0,0,0,0,0
10189,6,10,12,0,0,12,0,13,7,19
10190,7,7,20,7,7,7,7,7,7,9
10191,0,0,0,0,0,0,0,0,0,0
10192,0,0,0,0,0,0,0,0,0,0
10193,13,13,17,24,41,0,17,0,35,0
10195,0,0,0,0,0,0,0,0,0,0
10196,0,0,0,0,0,0,0,0,0,0
10197,0,0,0,0,0,0,0,0,0,0
10198,0,0,0,0,0,0,0,0,0,0
10199,0,0,0,0,0,0,0,0,0,0
10200,0,18,0,0,0,0,0,28,0,0
10201,20,0,0,19,0,0,0,0,10,25
10202,12,15,0,0,27,0,0,14,0,0
10203,21,21,21,21,21,21,21,21,21,21
10204,0,0,16,0,0,0,0,0,0,0
10205,0,0,0,0,0,0,0,0,0,0
10206,20,20,20,20,20,20,20,20,20,20
10207,8,8,8,8,8,8,8,8,8,8
10208,0,0,0,0,0,21,6,0,0,0
10209,0,0,0,0,0,0,0,0,40,0
10210,19,19,19,19,19,19,19,19,19,19
10211,0,0,0,0,0,0,0,0,0,0
10212,0,0,0,0,0,0,0,0,0,0
10213,0,0,0,0,0,0,0,0,0,0
10214,0,0,0,0,0,0,0,0,0,0
10215,0,0,17,0,25,32,0,0,0,0
10216,0,0,0,0,0,0,0,0,0,0
10217,0,0,0,0,0,0,0,0,0,0
10218,0,0,0,16,0,0,0,0,0,0
10219,0,0,0,0,0,0,0,0,0,0
10220,0,0,0,0,0,0,0,0,0,0
10221,0,0,0,0,0,0,0,0,6,0
10222,0,0,8,8,11,0,0,8,15,25
10223,13,13,13,13,13,13,13,13,13,13
10224,0,0,0,0,0,0,0,0,0,0
10225,10,10,10,10,10,10,10,10,10,10
10226,10,10,10,10,10,10,10,10,10,10
10227,1,1,1,1,1,1,1,1,1,1
10228,24,24,24,24,24,24,24,24,24,24
10229,1,1,1,1,19,1,1,1,1,1
10230,24,8,7,21,0,14,0,0,10,18
10231,19,19,19,19,19,19,19,19,19,19
10232,23,23,23,23,23,23,23,23,23,23
10233,0,0,0,0,0,0,0,0,0,0
10234,0,0,0,0,0,0,0,0,0,0
10235,0,0,0,0,0,0,0,0,0,0
10236,0,0,0,0,0,0,0,0,15,0
10237,0,0,0,0,9,0,0,0,0,0
10238,0,0,0,0,0,0,0,0,0,0
10239,0,0,0,0,0,0,0,0,0,0
10240,0,21,0,0,0,0,0,0,0,0
10241,15,15,15,15,15,15,15,15,15,15
10242,0,0,0,0,0,0,0,0,0,0
10243,18,18,18,18,18,18,18,18,18,18
10244,12,18,0,0,28,8,0,24,0,0
10245,0,0,0,0,0,0,0,0,0,0
10246,0,0,0,0,0,0,0,0,0,0
10247,0,0,0,0,0,0,0,0,0,0
10248,20,20,20,20,20,20,20,20,20,20
10249,16,16,16,16,16,16,16,16,16,16
10250,0,0,0,0,0,0,0,0,0,0
10251,0,0,0,0,0,0,0,0,0,0
10252,21,21,21,21,21,21,21,21,21,21
10253,0,0,0,0,0,0,0,0,0,0
10254,0,0,0,0,0,0,0,0,0,3
10255,0,0,0,0,0,0,0,0,0,0
10256,0,0,0,0,0,0,0,0,0,0
10257,23,23,23,23,23,30,23,23,23,23
10258,0,0,0,0,0,0,0,0,0,0
10259,26,26,26,26,26,26,26,26,26,26
10260,22,22,22,22,22,22,22,22,22,22
10261,0,9,0,0,0,0,0,0,0,0
10262,0,0,0,0,0,0,0,0,0,0
10263,0,0,0,0,12,0,13,0,10,0
10264,0,0,0,0,0,0,0,0,0,0
10265,25,25,25,25,25,25,25,25,25,25
10266,0,0,0,0,0,0,0,0,0,0
10267,0,0,0,0,0,0,0,0,0,0
10268,14,14,14,14,14,14,14,14,14,14
10269,10,0,0,0,0,0,0,0,0,0
10270,17,17,17,17,17,17,17,17,17,17
10271,13,13,13,13,13,13,13,13,13,13
10272,22,21,11,25,15,0,15,0,14,15
10273,0,0,0,0,0,0,0,0,0,0
10274,8,24,8,8,8,8,8,23,20,23
10275,0,0,0,0,0,0,0,0,0,0
10276,0,0,0,0,0,0,0,0,0,0
10277,0,0,0,0,0,0,0,0,0,0
10278,0,0,0,0,0,0,0,0,0,0
10279,0,0,0,0,0,0,0,0,0,0
10280,0,0,0,0,0,0,0,0,0,0
10281,0,0,0,0,0,0,0,0,0,0
10282,0,0,0,0,17,0,0,0,0,0
10283,0,0,0,0,0,0,0,0,0,0
10284,15,15,15,15,15,15,15,15,15,15
10285,0,0,0,20,0,0,0,0,0,0
10286,19,19,19,19,19,19,19,19,19,19
10287,0,0,0,11,0,0,6,0,0,0
10288,0,0,0,0,0,0,0,0,0,0
10289,18,18,18,18,18,18,18,18,18,18
10290,37,0,0,24,0,0,0,26,0,0
10291,11,11,11,11,11,11,11,11,11,11
10292,0,0,0,0,0,0,0,0,0,0
10293,12,12,12,12,12,12,12,12,12,12
10294,30,30,30,30,30,30,30,30,30,30
10295,21,0,25,43,0,34,0,23,13,21
10296,0,0,0,0,0,0,0,0,0,0
10297,8,8,10,8,8,8,8,8,8,8
10298,0,0,0,0,0,0,0,0,0,0
10299,0,0,0,0,0,0,0,0,0,0
10300,0,0,0,0,0,0,0,0,0,0
10301,15,15,15,15,15,15,15,15,15,29
10302,9,9,10,9,9,17,25,25,11,25
10303,0,0,20,35,31,15,0,26,22,0
10304,15,0,0,0,19,6,0,25,9,12
10305,11,0,10,0,0,6,0,11,0,0
10306,0,0,0,22,0,0,0,0,0,0
10307,0,0,0,0,0,0,0,0,8,0
10308,0,0,0,4,9,10,17,17,23,13
10309,0,36,0,10,0,0,0,0,0,0
10310,12,12,12,12,12,12,12,12,12,12
10311,0,0,0,0,0,0,0,0,0,0
10312,0,16,0,0,0,0,0,0,0,27
10313,0,0,0,0,0,0,8,0,0,0
10314,0,0,0,0,0,0,0,21,0,0
10315,0,0,32,0,0,0,24,15,0,0
10316,0,32,0,0,0,0,31,12,0,21
10317,19,0,0,12,0,26,41,0,17,0
10318,20,20,20,20,20,20,20,20,20,20
10319,9,11,26,15,9,9,9,9,42,9
10320,0,0,0,0,0,0,0,0,0,0
10321,19,11,26,14,25,28,9,3,20,17
10322,17,19,21,33,19,31,10,16,21,9
10323,0,0,0,0,0,0,0,0,0,0
10324,0,0,0,0,0,0,0,0,0,0
10325,0,0,11,0,0,0,11,0,0,0
10326,19,19,19,19,19,19,19,19,19,19
10327,0,0,0,0,0,0,0,0,0,0
10328,0,0,0,0,0,0,0,0,0,0
10329,0,0,0,0,0,0,0,0,0,0
10330,10,10,10,10,10,10,10,10,10,10
10331,15,15,15,15,15,15,15,15,15,15
10332,0,0,0,0,0,0,0,0,0,0
10333,0,0,0,0,0,0,0,0,0,0
10334,13,19,9,8,20,14,22,20,9,15
10335,0,0,0,0,18,0,17,17,11,0
10336,0,0,0,0,0,0,0,0,0,0
10337,0,0,0,0,0,0,0,0,0,0
10338,7,7,7,7,7,7,7,7,7,7
10339,0,0,0,0,0,0,0,0,0,0
10340,0,0,0,0,0,0,0,0,0,0
10341,12,11,6,10,5,13,14,29,10,10
10342,8,8,8,8,8,8,8,8,8,8
10343,0,10,0,19,0,6,26,0,24,13
10344,3,3,3,3,3,3,3,3,3,3
10345,0,0,0,0,0,0,0,0,0,0
10346,10,10,10,10,10,10,10,10,10,10
10347,0,0,0,0,0,0,0,0,0,0
10348,0,0,0,0,0,0,0,0,0,0
10349,0,0,0,0,0,0,0,0,0,0
10350,0,0,0,0,0,0,0,0,0,0
10351,1,1,1,1,1,1,1,1,1,1
10352,0,0,0,0,0,0,0,0,0,0
10353,0,0,0,0,0,0,0,0,0,0
10354,0,0,0,0,0,0,0,0,0,0
10355,0,0,0,0,0,0,0,0,0,0
10356,0,0,0,0,0,0,0,0,0,0
10357,15,0,10,19,0,0,15,0,0,0
10358,0,0,0,0,19,0,0,0,0,0
10359,0,21,0,0,8,0,0,10,22,0
10360,1,1,1,1,1,1,1,1,1,1
10361,0,0,0,0,0,0,0,0,0,0
10362,3,3,3,3,3,3,3,3,3,3
10363,0,0,0,0,0,0,0,0,0,0
10364,16,16,16,16,16,16,16,16,16,16
10365,0,0,0,0,0,0,0,0,0,0
10366,14,14,14,14,14,14,14,14,14,14
10367,0,0,0,0,0,0,0,0,0,0
10368,0,0,0,0,0,0,0,0,0,0
10369,19,3,12,0,12,15,0,15,19,31
10370,0,0,0,0,0,0,0,0,0,6
10371,32,3,3,3,3,3,3,12,3,3
10372,0,0,0,0,0,0,0,0,0,0
10373,0,0,11,0,0,0,0,0,0,0
10374,0,0,0,0,0,0,0,0,0,0
10375,12,8,26,31,0,0,0,41,0,31
10376,0,0,0,0,0,0,0,0,0,0
10377,0,0,19,0,28,9,0,0,0,19
10378,28,28,28,28,28,28,28,28,28,28
10379,0,0,0,0,0,0,0,0,0,0
10380,0,0,0,0,0,0,0,0,0,0
10381,0,0,0,0,0,0,0,0,0,0
10382,16,16,32,16,16,16,21,16,16,16
10383,8,8,8,8,8,8,8,8,8,8
10384,26,0,0,0,0,0,0,0,14,0
10385,0,0,0,0,0,0,0,0,0,0
10386,13,13,13,13,13,13,13,13,13,13
10387,0,0,0,0,0,0,0,0,0,0
10388,0,0,21,0,5,0,0,0,0,0
10389,12,12,12,12,12,12,12,12,12,12
10390,19,0,11,0,0,0,0,0,0,0
10391,12,12,12,12,12,12,12,12,12,12
10392,0,0,0,0,0,0,0,0,0,0
10393,0,0,0,0,0,0,0,0,0,0
10394,18,13,17,29,19,30,28,13,4,9
10395,0,0,0,0,0,0,0,0,0,0
10396,0,0,0,0,0,0,0,0,0,0
10397,2,2,2,2,2,2,2,2,2,2
10398,0,0,0,0,0,0,0,0,0,0
10399,0,0,0,0,0,0,0,0,0,0
10400,36,0,14,0,18,5,25,0,0,0
10401,0,20,0,0,0,0,0,10,0,0
10402,9,9,9,9,9,9,9,9,9,9
10403,17,17,17,17,17,17,17,17,17,17
10404,0,11,0,0,0,0,0,0,0,0
10405,0,0,0,0,0,0,0,7,0,0
10406,0,11,0,0,0,0,0,0,0,0
10407,25,25,25,25,25,25,25,25,25,25
10408,7,7,7,7,7,7,7,7,7,7
10409,0,0,0,0,0,0,0,0,0,0
10410,5,21,12,24,4,29,0,0,0,0
10411,29,29,29,29,29,29,29,29,29,29
10412,25,0,0,0,0,0,0,0,0,0
10413,21,21,21,21,21,21,21,21,21,21
10414,0,25,0,0,0,0,0,0,0,0
10415,30,14,0,0,15,20,0,20,0,24
10416,0,0,0,0,0,0,0,0,0,0
10417,0,0,0,0,0,0,0,0,29,0
10418,0,0,0,0,0,0,0,0,0,0
10419,0,0,0,18,0,0,0,0,0,0
10420,22,22,22,22,22,22,22,22,22,22
10421,0,0,0,0,0,0,0,0,0,0
10422,0,0,0,0,0,0,0,0,0,0
10423,8,8,8,8,8,22,8,8,8,8
10424,0,0,0,0,0,0,0,0,0,0
10425,0,0,0,0,0,0,0,0,10,0
10426,15,15,15,15,15,15,15,15,15,15
10427,0,0,0,0,0,0,0,0,0,0
10428,0,0,0,0,0,0,0,19,0,0
10429,0,0,0,0,0,0,0,0,0,0
10430,0,0,0,0,0,0,0,0,0,0
10431,9,9,9,9,9,9,9,9,9,9
10432,23,10,0,0,0,7,0,0,0,0
10433,0,0,0,0,0,0,0,0,0,0
10434,0,12,0,0,0,0,0,0,0,0
10435,0,0,0,0,0,0,0,0,0,0
10436,12,12,12,12,12,12,12,12,12,12
10437,0,0,15,0,21,0,0,0,0,0
10438,8,0,0,0,0,25,13,0,0,0
10439,0,0,0,0,0,0,0,0,0,0
10440,6,6,6,6,6,6,6,6,6,6
10441,0,0,0,0,0,14,0,0,0,16
10442,0,0,0,0,0,0,0,0,0,0
10443,35,35,35,35,35,35,35,35,35,35
10444,17,17,17,17,17,17,17,17,17,17
10445,0,0,0,0,0,0,0,0,0,0
10446,21,0,0,27,34,22,22,19,0,0
10447,19,19,19,19,19,19,19,19,19,19
10448,22,22,22,22,22,22,22,22,22,22
10449,10,0,0,0,12,9,16,13,0,28
10450,0,5,15,0,39,0,0,42,0,0
10451,0,0,0,0,0,0,0,0,0,0
10452,21,0,28,12,18,31,0,13,25,26
10453,0,0,0,0,6,0,0,0,0,0
